MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 06:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 05:30
10010803683,000000000022208324,0.004,Active Import Interval (kW),21-08-2025 05:30
10010803683,000000000022208324,0.248,Active Import Interval (kW),21-08-2025 05:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 05:00
10010803683,000000000022208324,0.238,Active Import Interval (kW),21-08-2025 04:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 04:30
10010803683,000000000022208324,2.134,Active Import Interval (kW),21-08-2025 04:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 04:00
10010803683,000000000022208324,2.292,Active Import Interval (kW),21-08-2025 03:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 03:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 03:00
10010803683,000000000022208324,2.300,Active Import Interval (kW),21-08-2025 03:00
10010803683,000000000022208324,2.786,Active Import Interval (kW),21-08-2025 02:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 02:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 02:00
10010803683,000000000022208324,0.238,Active Import Interval (kW),21-08-2025 02:00
10010803683,000000000022208324,0.268,Active Import Interval (kW),21-08-2025 01:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 01:30
10010803683,000000000022208324,0.342,Active Import Interval (kW),21-08-2025 01:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 01:00
10010803683,000000000022208324,0.318,Active Import Interval (kW),21-08-2025 00:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 00:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),21-08-2025 00:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),21-08-2025 00:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 23:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 23:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 23:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 23:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 22:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 22:30
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 22:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 22:00
10010803683,000000000022208324,0.002,Active Export Interval (kW),20-08-2025 21:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 21:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 21:00
10010803683,000000000022208324,0.002,Active Export Interval (kW),20-08-2025 21:00
10010803683,000000000022208324,0.002,Active Export Interval (kW),20-08-2025 20:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 20:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 20:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 20:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 19:30
10010803683,000000000022208324,0.004,Active Export Interval (kW),20-08-2025 19:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 19:00
10010803683,000000000022208324,0.000,Active Export Interval (kW),20-08-2025 19:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 18:30
10010803683,000000000022208324,0.006,Active Export Interval (kW),20-08-2025 18:30
10010803683,000000000022208324,0.034,Active Import Interval (kW),20-08-2025 18:00
10010803683,000000000022208324,0.458,Active Export Interval (kW),20-08-2025 18:00
10010803683,000000000022208324,0.778,Active Export Interval (kW),20-08-2025 17:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 17:30
10010803683,000000000022208324,0.696,Active Export Interval (kW),20-08-2025 17:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 17:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 16:30
10010803683,000000000022208324,1.196,Active Export Interval (kW),20-08-2025 16:30
10010803683,000000000022208324,1.464,Active Export Interval (kW),20-08-2025 16:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 16:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 15:30
10010803683,000000000022208324,1.284,Active Export Interval (kW),20-08-2025 15:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 15:00
10010803683,000000000022208324,0.246,Active Export Interval (kW),20-08-2025 15:00
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 14:30
10010803683,000000000022208324,0.308,Active Export Interval (kW),20-08-2025 14:30
10010803683,000000000022208324,0.000,Active Import Interval (kW),20-08-2025 14:00
10010803683,000000000022208324,1.452,Active Export Interval (kW),20-08-2025 14:00
