MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10010803683,000000000022208324,0.3480,Active Export Interval (kWh),20-08-2025 17:00
10010803683,000000000022208324,0.5980,Active Export Interval (kWh),20-08-2025 16:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 16:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 16:00
10010803683,000000000022208324,0.7320,Active Export Interval (kWh),20-08-2025 16:00
10010803683,000000000022208324,0.6420,Active Export Interval (kWh),20-08-2025 15:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 15:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 15:00
10010803683,000000000022208324,0.1230,Active Export Interval (kWh),20-08-2025 15:00
10010803683,000000000022208324,0.1540,Active Export Interval (kWh),20-08-2025 14:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 14:30
10010803683,000000000022208324,0.7260,Active Export Interval (kWh),20-08-2025 14:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 14:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 13:30
10010803683,000000000022208324,0.8780,Active Export Interval (kWh),20-08-2025 13:30
10010803683,000000000022208324,0.9450,Active Export Interval (kWh),20-08-2025 13:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 13:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 12:30
10010803683,000000000022208324,0.7740,Active Export Interval (kWh),20-08-2025 12:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 12:00
10010803683,000000000022208324,0.8170,Active Export Interval (kWh),20-08-2025 12:00
10010803683,000000000022208324,0.8310,Active Export Interval (kWh),20-08-2025 11:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 11:30
10010803683,000000000022208324,1.0250,Active Export Interval (kWh),20-08-2025 11:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 11:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 10:30
10010803683,000000000022208324,0.7690,Active Export Interval (kWh),20-08-2025 10:30
10010803683,000000000022208324,0.8960,Active Export Interval (kWh),20-08-2025 10:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 10:00
10010803683,000000000022208324,0.2110,Active Export Interval (kWh),20-08-2025 09:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 09:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 09:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 09:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 08:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),20-08-2025 08:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 08:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 08:00
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),20-08-2025 07:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 07:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 07:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 07:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 06:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 06:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 06:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 06:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 05:30
10010803683,000000000022208324,0.0020,Active Import Interval (kWh),20-08-2025 05:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 05:00
10010803683,000000000022208324,0.1620,Active Import Interval (kWh),20-08-2025 05:00
10010803683,000000000022208324,0.1610,Active Import Interval (kWh),20-08-2025 04:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 04:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 04:00
10010803683,000000000022208324,0.8360,Active Import Interval (kWh),20-08-2025 04:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 03:30
10010803683,000000000022208324,0.9280,Active Import Interval (kWh),20-08-2025 03:30
10010803683,000000000022208324,0.9160,Active Import Interval (kWh),20-08-2025 03:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 03:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 02:30
10010803683,000000000022208324,0.9910,Active Import Interval (kWh),20-08-2025 02:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 02:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 02:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 01:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 01:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 01:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 01:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 00:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 00:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),20-08-2025 00:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),20-08-2025 00:00
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),19-08-2025 23:30
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 23:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),19-08-2025 23:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 23:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 22:30
10010803683,000000000022208324,0.0000,Active Export Interval (kWh),19-08-2025 22:30
10010803683,000000000022208324,0.0010,Active Export Interval (kWh),19-08-2025 22:00
10010803683,000000000022208324,0.0000,Active Import Interval (kWh),19-08-2025 22:00
